"","cytof","linear_aic","quadratic_aic","pval","a","b","class","pattern"
"257","CD56loCD16posNK_STAT6_IL246",95.3528415711252,90.1274129353319,0.0276021352987299,-0.00408293015539627,0.265730054435349,"quadratic","deceleration/increase"
"258","CD56loCD16posNK_STAT6_unstim",-1244.81775448653,-1244.13147553073,0.0626188925502337,2.01815635434435e-05,-0.00142911828040671,"linear","linear"
"259","CD8Tcm_CREB_IFNa",-835.412143318321,-838.885227491538,0.0114779865368423,-0.000160138340951451,0.0108469231219595,"quadratic","deceleration/increase"
"260","CD8Tcm_CREB_IL246",-572.101938217844,-576.383999423404,0.0158908667432519,-0.000412125202344253,0.0257190248542807,"quadratic","deceleration/increase"
"261","CD8Tcm_CREB_unstim",-610.197572408713,-611.121361108353,0.0122911816788285,-0.000249012054328467,0.0147346434931383,"quadratic","deceleration/increase"
"262","CD8Tcm_ERK_IFNa",-680.076397566949,-679.340241068126,0.32940228714155,-0.000130056715495957,0.00883353112095023,"linear","linear"
"263","CD8Tcm_ERK_IL246",-549.965067284783,-551.518322006482,0.0677383384902459,-0.00033519848670986,0.0207306973625085,"quadratic","deceleration/increase"
"264","CD8Tcm_ERK_unstim",-556.541653137274,-554.607846451593,0.0306817597391152,-4.5018840233845e-05,0.0014718615357716,"linear","linear"
"265","CD8Tcm_IkB_IFNa",-659.331723019714,-657.350318343547,0.551613673781794,-1.69402453451997e-05,0.000815796697852234,"linear","linear"
"266","CD8Tcm_IkB_IL246",-615.138044473849,-613.331645765571,0.856664301324458,-6.33172715489147e-05,0.00399448937885701,"linear","linear"
"267","CD8Tcm_IkB_unstim",-465.89801369988,-466.631393236944,0.0124826442795884,-0.000389609686278446,0.0229526616261177,"quadratic","deceleration/increase"
"268","CD8Tcm_MAPKAPK2_IFNa",-824.35575185413,-822.363583117734,0.0194758216630468,-6.34227085435048e-06,0.001047424193459,"linear","linear"
